QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962597,Partido 98,Cargar los puntos del partido 98,http://uqr.to/1rhyd,url,https://torneo.sejama.com.ar/partido/98/editar,https://app.qrcodekit.com/qrs/2962597.png,https://app.qrcodekit.com/qrs/2962597.svg
2962596,Partido 97,Cargar los puntos del partido 97,http://uqr.to/1rhyc,url,https://torneo.sejama.com.ar/partido/97/editar,https://app.qrcodekit.com/qrs/2962596.png,https://app.qrcodekit.com/qrs/2962596.svg
2962595,Partido 96,Cargar los puntos del partido 96,http://uqr.to/1rhyb,url,https://torneo.sejama.com.ar/partido/96/editar,https://app.qrcodekit.com/qrs/2962595.png,https://app.qrcodekit.com/qrs/2962595.svg
2962594,Partido 95,Cargar los puntos del partido 95,http://uqr.to/1rhya,url,https://torneo.sejama.com.ar/partido/95/editar,https://app.qrcodekit.com/qrs/2962594.png,https://app.qrcodekit.com/qrs/2962594.svg
2962593,Partido 94,Cargar los puntos del partido 94,http://uqr.to/1rhy9,url,https://torneo.sejama.com.ar/partido/94/editar,https://app.qrcodekit.com/qrs/2962593.png,https://app.qrcodekit.com/qrs/2962593.svg
2962592,Partido 93,Cargar los puntos del partido 93,http://uqr.to/1rhy8,url,https://torneo.sejama.com.ar/partido/93/editar,https://app.qrcodekit.com/qrs/2962592.png,https://app.qrcodekit.com/qrs/2962592.svg
2962591,Partido 92,Cargar los puntos del partido 92,http://uqr.to/1rhy7,url,https://torneo.sejama.com.ar/partido/92/editar,https://app.qrcodekit.com/qrs/2962591.png,https://app.qrcodekit.com/qrs/2962591.svg
2962590,Partido 91,Cargar los puntos del partido 91,http://uqr.to/1rhy6,url,https://torneo.sejama.com.ar/partido/91/editar,https://app.qrcodekit.com/qrs/2962590.png,https://app.qrcodekit.com/qrs/2962590.svg
2962589,Partido 90,Cargar los puntos del partido 90,http://uqr.to/1rhy5,url,https://torneo.sejama.com.ar/partido/90/editar,https://app.qrcodekit.com/qrs/2962589.png,https://app.qrcodekit.com/qrs/2962589.svg
2962588,Partido 89,Cargar los puntos del partido 89,http://uqr.to/1rhy4,url,https://torneo.sejama.com.ar/partido/89/editar,https://app.qrcodekit.com/qrs/2962588.png,https://app.qrcodekit.com/qrs/2962588.svg
2962587,Partido 88,Cargar los puntos del partido 88,http://uqr.to/1rhy3,url,https://torneo.sejama.com.ar/partido/88/editar,https://app.qrcodekit.com/qrs/2962587.png,https://app.qrcodekit.com/qrs/2962587.svg
2962586,Partido 87,Cargar los puntos del partido 87,http://uqr.to/1rhy2,url,https://torneo.sejama.com.ar/partido/87/editar,https://app.qrcodekit.com/qrs/2962586.png,https://app.qrcodekit.com/qrs/2962586.svg
2962585,Partido 86,Cargar los puntos del partido 86,http://uqr.to/1rhy1,url,https://torneo.sejama.com.ar/partido/86/editar,https://app.qrcodekit.com/qrs/2962585.png,https://app.qrcodekit.com/qrs/2962585.svg
